rally_id,video,bucket,fix_side,action_frame,action_type,current_pid,gt_tid,n_candidates,gt_in_candidates,gt_rank,scorer_top1,kind,scorer_pick,final_pick,override_stage
72c8229b-2993-4310-9b61-cd6162cc27fa,gigi,C-5,prev,234,dig,3,2,4,True,1,2,scorer_already_wrong,3,3,
72c8229b-2993-4310-9b61-cd6162cc27fa,gigi,set_attack_xteam,curr,760,attack,1,4,3,True,1,4,scorer_already_wrong,1,1,
72c8229b-2993-4310-9b61-cd6162cc27fa,gigi,C-5,curr,760,attack,1,4,3,True,1,4,scorer_already_wrong,1,1,
6022138d-db87-465e-892d-aa58ea4e9d6f,juju,C-5,curr,253,attack,4,2,4,True,1,2,scorer_already_wrong,4,4,
ca5d5f57-fd4d-4aa8-b698-6b612aa97d1a,kaka,C-5,curr,309,set,4,2,4,True,1,2,no_override_in_trace,2,2,
f33d7ac8-d348-4525-9caf-5082020d534c,kaka,C-5,curr,360,set,4,2,4,True,1,2,scorer_already_wrong,4,4,
a0aba15e-06e9-4502-8d89-b1cf2d80a908,kiki,C-4,curr,659,set,2,1,3,True,1,1,scorer_already_wrong,2,2,
a0aba15e-06e9-4502-8d89-b1cf2d80a908,kiki,C-4,prev,659,set,2,1,3,True,1,1,scorer_already_wrong,2,2,
0bc00f94-b42e-4cf0-b6ae-c022c38b12de,kiki,set_attack_xteam,curr,426,attack,1,2,4,True,1,2,scorer_already_wrong,1,1,
0bc00f94-b42e-4cf0-b6ae-c022c38b12de,kiki,C-5,curr,426,attack,1,2,4,True,1,2,scorer_already_wrong,1,1,
2cb28662-ea49-4c0c-b34d-11d165b3ac0f,koko,set_attack_xteam,prev,985,set,1,3,4,True,1,3,scorer_already_wrong,1,1,
2cb28662-ea49-4c0c-b34d-11d165b3ac0f,koko,C-5,prev,985,set,1,3,4,True,1,3,scorer_already_wrong,1,1,
2cb28662-ea49-4c0c-b34d-11d165b3ac0f,koko,C-5,curr,985,set,1,3,4,True,1,3,scorer_already_wrong,1,1,
9c1c438b-d4e5-4922-a72f-36cca221ee12,mumu,C-5,prev,89,receive,4,2,4,True,1,2,scorer_already_wrong,4,4,
9c1c438b-d4e5-4922-a72f-36cca221ee12,mumu,serve_receive_sameteam,curr,89,receive,4,2,4,True,1,2,scorer_already_wrong,4,4,
e46a9741-14a5-4aa3-b4cd-d8cdc3552752,papa,attack_dig_sameteam,prev,204,attack,2,4,4,True,1,4,scorer_already_wrong,2,2,
6ed4d6fc-0246-45f8-a054-d1416558586b,pepe,C-4,curr,302,attack,2,1,4,True,1,1,scorer_already_wrong,2,2,
7501a7b7-2221-480c-9b26-5daf7eee38d1,popo,C-5,prev,120,receive,1,4,4,True,1,4,scorer_already_wrong,1,1,
8276604f-9504-4116-94ef-96224feefca0,veve,attack_dig_sameteam,prev,312,attack,1,4,4,True,1,4,scorer_already_wrong,1,1,
8276604f-9504-4116-94ef-96224feefca0,veve,attack_dig_sameteam,prev,191,attack,3,2,4,True,1,2,scorer_already_wrong,3,3,
8276604f-9504-4116-94ef-96224feefca0,veve,C-5,curr,312,attack,1,4,4,True,1,4,scorer_already_wrong,1,1,
8276604f-9504-4116-94ef-96224feefca0,veve,set_attack_xteam,curr,191,attack,3,2,4,True,1,2,scorer_already_wrong,3,3,
8276604f-9504-4116-94ef-96224feefca0,veve,set_attack_xteam,curr,312,attack,1,4,4,True,1,4,scorer_already_wrong,1,1,
8276604f-9504-4116-94ef-96224feefca0,veve,C-5,curr,191,attack,3,2,4,True,1,2,scorer_already_wrong,3,3,
1f09287f-b552-4519-a0ee-d9be34b44ecc,vivi,C-5,prev,303,dig,1,3,4,True,1,3,scorer_already_wrong,1,1,
7f0f540a-aa6b-4c37-b2e6-eec3b7e74da7,wawa,C-4,prev,281,set,1,2,4,True,1,2,scorer_already_wrong,1,1,
2d3cb54b-78f4-46fd-965a-ccb74b458f1b,yeye,set_attack_xteam,curr,601,attack,3,1,4,True,1,1,scorer_already_wrong,3,3,
2d3cb54b-78f4-46fd-965a-ccb74b458f1b,yeye,C-5,curr,601,attack,3,1,4,True,1,1,scorer_already_wrong,3,3,
