video,rally,gt_frame,nearest_detected,pattern,gen_at_block,gen_at_attack,cand_at_block,cand_at_attack,detected_at_block,detected_at_attack
caco,cfc464a7,336,0,DETECTED_AT_GT,"{""vel_peak"": [333], ""inflect"": [336], ""decel"": [338], ""parabolic"": [335], ""dir_change"": [336]}",{},"[334, 336]",[],[336],[]
caco,9452ee5a,190,3,DETECTED_AT_GT,"{""vel_peak"": [180], ""inflect"": [187], ""decel"": [192], ""parabolic"": [186], ""dir_change"": [187], ""net_cross"": [205]}","{""vel_peak"": [180], ""parabolic"": [186]}","[185, 187]",[185],[187],[]
gigi,72c8229b,631,6,DETECTED_AT_GT,"{""vel_peak"": [620, 641], ""inflect"": [627, 646], ""decel"": [625], ""parabolic"": [646], ""dir_change"": [627, 646], ""net_cross"": [627, 640]}","{""vel_peak"": [620], ""inflect"": [627], ""decel"": [625], ""dir_change"": [627], ""net_cross"": [627]}","[627, 632, 638, 646]",[627],[637],[]
gigi,3e07342a,231,6,DETECTED_AT_GT,"{""vel_peak"": [218, 234], ""inflect"": [236], ""decel"": [230, 242], ""parabolic"": [236], ""dir_change"": [236], ""net_cross"": [226]}","{""vel_peak"": [218], ""net_cross"": [226]}","[222, 228, 236]",[222],[237],[]
gigi,b8d333ae,234,1,DETECTED_AT_GT,"{""vel_peak"": [226], ""inflect"": [222, 242], ""decel"": [239], ""parabolic"": [231], ""dir_change"": [222, 242]}","{""vel_peak"": [226], ""inflect"": [222], ""dir_change"": [222]}","[222, 230, 234, 242]","[222, 230]",[233],[]
juju,d810943e,390,1,DETECTED_AT_GT,"{""vel_peak"": [389, 403], ""inflect"": [385], ""decel"": [384], ""parabolic"": [387], ""dir_change"": [385], ""net_cross"": [387]}","{""inflect"": [385], ""decel"": [384], ""dir_change"": [385]}","[385, 388, 403]",[385],[389],[]
juju,6022138d,220,4,DETECTED_AT_GT,"{""vel_peak"": [209], ""inflect"": [227], ""decel"": [214], ""dir_change"": [214, 227]}","{""vel_peak"": [209], ""decel"": [214], ""dir_change"": [214]}","[215, 219, 220, 227]",[215],"[216, 233]",[216]
juju,acada27e,241,3,DETECTED_AT_GT,"{""vel_peak"": [232, 254], ""inflect"": [237, 252], ""decel"": [238], ""parabolic"": [238, 252], ""dir_change"": [237, 252], ""net_cross"": [242, 255]}","{""vel_peak"": [232], ""inflect"": [237], ""dir_change"": [237]}","[237, 244, 249, 252]",[237],[238],[]
juju,e03ef981,312,5,DETECTED_AT_GT,"{""vel_peak"": [301], ""inflect"": [304, 319], ""decel"": [310], ""parabolic"": [307], ""dir_change"": [304, 319], ""net_cross"": [306]}","{""vel_peak"": [301], ""inflect"": [304], ""parabolic"": [307], ""dir_change"": [304], ""net_cross"": [306]}","[304, 319, 326]",[304],[307],[307]
juju,c89b346b,227,3,DETECTED_AT_GT,"{""vel_peak"": [217], ""inflect"": [231], ""decel"": [222], ""dir_change"": [231]}","{""vel_peak"": [217], ""decel"": [222]}","[222, 223, 231]","[222, 223]",[224],[]
kaka,f33d7ac8,462,1,DETECTED_AT_GT,"{""vel_peak"": [450, 463], ""inflect"": [461], ""decel"": [457], ""dir_change"": [461]}","{""vel_peak"": [450], ""decel"": [457]}",[461],[],[461],[]
kiki,a0aba15e,972,2,DETECTED_AT_GT,"{""vel_peak"": [974], ""inflect"": [963], ""decel"": [963, 979], ""dir_change"": [963], ""net_cross"": [981]}","{""inflect"": [963], ""decel"": [963], ""dir_change"": [963]}","[963, 964]","[963, 964]",[974],[]
kiki,0bc00f94,435,9,H-A4,"{""vel_peak"": [423], ""inflect"": [424, 446], ""parabolic"": [424], ""dir_change"": [424, 446]}","{""vel_peak"": [423], ""inflect"": [424], ""parabolic"": [424], ""dir_change"": [424]}","[424, 438, 446]",[424],[426],[426]
mimi,f3695225,211,4,DETECTED_AT_GT,"{""vel_peak"": [202], ""inflect"": [212], ""dir_change"": [212]}","{""vel_peak"": [202]}","[207, 212]",[207],[215],[]
moma,e1929103,202,5,DETECTED_AT_GT,"{""vel_peak"": [189], ""inflect"": [204], ""decel"": [204], ""parabolic"": [192], ""dir_change"": [204]}","{""vel_peak"": [189], ""parabolic"": [192]}","[192, 197, 204]","[192, 197]",[197],[197]
moma,753a4ec7,201,1,DETECTED_AT_GT,"{""vel_peak"": [188, 203], ""inflect"": [206], ""decel"": [194, 210], ""parabolic"": [191, 204], ""dir_change"": [206], ""net_cross"": [196]}","{""vel_peak"": [188], ""decel"": [194], ""parabolic"": [191], ""net_cross"": [196]}","[192, 199, 206]",[192],[200],[]
moma,9bb60892,205,0,DETECTED_AT_GT,"{""vel_peak"": [195, 209], ""inflect"": [196], ""parabolic"": [197], ""dir_change"": [196, 220], ""net_cross"": [215]}","{""vel_peak"": [195], ""inflect"": [196], ""parabolic"": [197], ""dir_change"": [196]}","[196, 204, 220]",[196],[205],[]
papa,047c5e5f,451,7,DETECTED_AT_GT,"{""vel_peak"": [443, 466], ""inflect"": [463], ""decel"": [450], ""dir_change"": [449, 463], ""net_cross"": [455]}","{""vel_peak"": [443]}","[449, 457, 458, 463]",[],[458],[]
popo,c1052008,195,3,DETECTED_AT_GT,"{""vel_peak"": [183], ""inflect"": [190], ""decel"": [194], ""parabolic"": [189], ""dir_change"": [190]}","{""vel_peak"": [183], ""inflect"": [190], ""parabolic"": [189], ""dir_change"": [190]}","[189, 190]","[189, 190]",[192],[]
pupu,e11fa028,176,4,DETECTED_AT_GT,"{""vel_peak"": [164], ""inflect"": [170, 183], ""dir_change"": [170, 183]}","{""vel_peak"": [164], ""inflect"": [170], ""dir_change"": [170]}","[170, 175, 183]",[170],[172],[172]
pupu,e11fa028,386,2,DETECTED_AT_GT,"{""vel_peak"": [377], ""inflect"": [383], ""decel"": [382], ""parabolic"": [384], ""dir_change"": [383]}","{""vel_peak"": [377], ""decel"": [382]}",[383],[],[384],[]
titi,21029e9f,194,1,DETECTED_AT_GT,"{""vel_peak"": [184, 209], ""inflect"": [195], ""decel"": [190], ""parabolic"": [202], ""dir_change"": [195], ""net_cross"": [206]}","{""vel_peak"": [184], ""decel"": [190]}","[195, 202, 206]",[],[195],[]
titi,1e38daab,185,2,DETECTED_AT_GT,"{""vel_peak"": [175], ""inflect"": [182, 194], ""dir_change"": [182, 194], ""net_cross"": [196]}","{""vel_peak"": [175]}","[182, 186, 194]",[],[183],[]
toto,70bd06c8,206,0,DETECTED_AT_GT,"{""vel_peak"": [201], ""inflect"": [204, 218], ""decel"": [212], ""parabolic"": [204], ""dir_change"": [204, 218]}","{""vel_peak"": [201]}","[204, 207, 215]",[],[206],[]
toto,67b3e1ad,173,1,DETECTED_AT_GT,"{""vel_peak"": [166], ""inflect"": [169, 183], ""decel"": [172], ""dir_change"": [169, 183]}","{""vel_peak"": [166], ""inflect"": [169], ""dir_change"": [169]}","[169, 172, 179]",[169],[172],[]
veve,4c27b635,265,2,DETECTED_AT_GT,"{""vel_peak"": [251], ""inflect"": [268], ""decel"": [269], ""dir_change"": [268], ""net_cross"": [264]}","{""vel_peak"": [251]}","[265, 268]",[],[267],[]
yeye,2d3cb54b,509,2,DETECTED_AT_GT,"{""vel_peak"": [498, 524], ""inflect"": [507, 520], ""decel"": [507], ""parabolic"": [504], ""dir_change"": [507, 520], ""net_cross"": [499]}","{""vel_peak"": [498], ""parabolic"": [504], ""net_cross"": [499]}","[507, 512, 520]",[],[511],[]
